Task ID,Task Name,Day Assigned,Phase,Status,Complexity,% Complete
D1-T1,Create GitHub repo with project skeleton,Day 1,Setup,Done,Low,100
D1-T2,Setup requirements.txt and environment,Day 1,Setup,Done,Low,100
D1-T3,Collect sample dataset,Day 1,Data,Done,Medium,100
D1-T4,Perform basic EDA and cleaning script,Day 1,Data,Done,Medium,100
D1-T5,Update tracking sheet with Phase 1 done,Day 1,Docs,Done,Low,100
D2-T1,Implement baseline ML model,Day 2,Model,Done,Medium,100
D2-T2,Train/test split and evaluate metrics,Day 2,Model,Done,Medium,100
D2-T3,Add explainability with SHAP,Day 2,Model,Done,High,100
D2-T4,Save trained model artifact (.pkl),Day 2,Model,Done,Low,100
D2-T5,Document results in notebook,Day 2,Docs,Done,Low,100
D3-T1,Build FastAPI endpoint for inference,Day 3,API,Done,Medium,100
D3-T2,Build Streamlit dashboard (EDA + prediction),Day 3,UI,Done,High,100
D3-T3,Connect dashboard to API,Day 3,Integration,Done,High,100
D4-T1,Create FAQ chatbot (RAG-lite),Day 4,Chatbot,Done,High,100
D4-T2,Integrate chatbot into dashboard,Day 4,UI,Done,Medium,100
D4-T3,Draft system architecture diagram,Day 4,Docs,Done,Medium,100
D4-T4,Write docs/ARCHITECTURE.md,Day 4,Docs,Done,Low,100
D5-T1,Dockerize API and Streamlit,Day 5,Deployment,Done,High,100
D5-T2,Create docker-compose.yml,Day 5,Deployment,Done,Medium,100
D5-T3,Test locally with Docker,Day 5,Deployment,Done,Medium,100
D5-T4,Write final README,Day 5,Docs,Done,Low,100
D5-T5,Update tracking sheet with completed vs pending,Day 5,Docs,Done,Low,100
D5-T6,Create final progress metrics for mentor,Day 5,Docs,To Do,Low,0 